#WL,nm	Real	Imag
187.879	1.05614	1.10911
189.602	1.05866	1.12413
191.328	1.06141	1.13936
193.116	1.06442	1.15481
194.907	1.0677	1.17045
196.763	1.07125	1.1863
198.654	1.07508	1.20236
200.55	1.07921	1.21861
202.515	1.08366	1.23506
204.485	1.08843	1.25169
206.529	1.09353	1.2685
208.614	1.09899	1.28549
210.705	1.1048	1.30265
212.876	1.111	1.31996
215.054	1.11759	1.33742
217.315	1.12458	1.35501
219.625	1.132	1.37272
221.944	1.13985	1.39053
224.353	1.14816	1.40843
226.774	1.15693	1.4264
229.29	1.16619	1.44441
231.862	1.17594	1.46244
234.449	1.1862	1.48046
237.139	1.19699	1.49843
239.845	1.20831	1.51633
242.661	1.22018	1.53411
245.545	1.23259	1.55174
248.447	1.24557	1.56915
251.47	1.2591	1.58631
254.516	1.27318	1.60315
257.689	1.2878	1.6196
260.943	1.30296	1.63562
264.223	1.31861	1.65111
267.645	1.33474	1.666
271.098	1.3513	1.68022
274.701	1.36823	1.69367
278.401	1.38545	1.70626
282.139	1.40289	1.71792
286.044	1.42043	1.72854
289.991	1.43795	1.73805
294.118	1.4553	1.74636
298.364	1.47229	1.75341
302.66	1.48873	1.75916
307.159	1.5044	1.76357
311.714	1.51904	1.76665
316.488	1.53239	1.76844
321.41	1.54416	1.76901
326.402	1.55404	1.76851
331.639	1.56176	1.76713
336.957	1.56702	1.76513
342.541	1.56959	1.76286
348.315	1.56928	1.76071
354.185	1.56598	1.75916
360.36	1.55971	1.75873
366.647	1.55065	1.75995
373.269	1.53915	1.76335
380.135	1.52582	1.76933
387.137	1.51151	1.77807
394.528	1.49731	1.78938
402.075	1.48445	1.80244
410.053	1.47409	1.81557
418.354	1.46686	1.82591
426.85	1.46202	1.82933
435.852	1.45624	1.82074
445.083	1.44216	1.7956
454.879	1.40766	1.75288
465.116	1.33781	1.69944
475.643	1.22068	1.6529
486.847	1.05605	1.63971
498.392	0.862288	1.68523
510.708	0.672749	1.7974
523.649	0.515595	1.9598
537.029	0.398553	2.14743
551.356	0.315404	2.34309
566.21	0.257011	2.53905
582.16	0.215897	2.73306
599.034	0.186831	2.92534
616.609	0.166317	3.11708
635.572	0.152047	3.30976
655.391	0.142482	3.50494
676.856	0.136592	3.70416
699.774	0.13368	3.90896
723.876	0.133276	4.1209
750.151	0.135075	4.3416
777.917	0.138887	4.57276
808.344	0.144616	4.81624
841.248	0.152247	5.07407
876.325	0.161833	5.34858
915.129	0.173502	5.6424
956.79	0.18746	5.95857
1003.24	0.204	6.30071
1054.42	0.223525	6.67305
1110.12	0.246573	7.08073
1173.13	0.273863	7.52997
1242.48	0.30635	8.02845
1321.96	0.345322	8.58572
1412.3	0.392525	9.21389
1514.04	0.450374	9.92853
1633.73	0.522273	10.75
1771.43	0.613123	11.7053
1937.5	0.730195	12.8317
