#wavelength	Real	Imag	
1400	11.69	0
1378	11.53621225	0
1305	11.62340831	0
1240	11.71829824	0
1181	11.82143241	0
1127	11.93426116	0
1078	12.05713119	0
1033	12.194064	0
991.9	12.34142895	0.000744764
953.7	12.52310544	0
918.4	12.78829601	0.028959055
885.6	13.06099314	0.01221532
855.1	13.26673152	0.293321994
826.6	13.433156	0.58656
799.9	13.56115754	0.656289365
774.9	13.681719	0.6734
751.4	13.83170885	0.742227381
729.3	13.99002	0.838208
708.5	14.14722142	0.986527453
688.8	14.303424	1.14307
670.2	14.45018345	1.258962666
652.5	14.606235	1.369708
635.8	14.78979725	1.501290835
619.9	14.994363	1.636516
604.8	15.21928013	1.760412994
590.4	15.466	1.8912
576.7	15.73404277	2.04361846
563.6	16.027993	2.215176
551	16.35072382	2.408883867
539.1	16.7076	2.624
527.6	17.10372709	2.854119172
516.6	17.544384	3.12011
506.1	18.03309686	3.438631219
495.9	18.580408	3.821706
486.2	19.19456953	4.271787236
476.9	19.887543	4.842376
467.9	20.66858313	5.551238227
459.2	21.54922	6.534048
450.9	22.70854498	7.807616205
442.8	23.6096	9.828738
435	23.71285866	13.75483789
427.5	22.560863	17.388984
420.3	19.50174164	17.91102396
413.3	16.536377	17.567064
406.5	15.45058441	18.20093784
399.9	14.517813	18.768916
393.6	12.31123	18.61979054
387.5	10.2729	18.020288
381.5	9.451420828	17.03341494
375.7	9.082437	16.037716
370.1	8.792497799	15.40716914
364.7	8.62144	14.930592
359.4	8.493985766	14.53457146
354.2	8.415792	14.215806
349.3	8.368109285	13.94831898
344.4	8.3538	13.73535
339.7	8.369049922	13.57304606
335.1	8.416464	13.45907
330.6	8.501091397	13.38918312
326.3	8.61272	13.366818
322	8.740516284	13.39194724
317.9	8.892228	13.472704
313.9	9.074398125	13.61279066
310	9.280801	13.82784
306.1	9.511217459	14.12961985
302.4	9.753903	14.539096
298.8	10.01158688	15.07040966
295.2	10.235339	15.76578
291.7	10.40179908	16.68569596
288.3	10.408121	17.80428
285	10.16587032	19.16837327
281.8	9.551256	20.58089
278.6	8.291246709	21.83237412
275.5	6.791008	22.844094
272.5	5.492688012	23.44535177
269.5	4.1628	23.887922
266.6	2.688494575	24.40343863
263.8	1.0293	24.840592
261	-0.878933712	25.18979566
258.3	-3.043936	25.19868
255.6	-5.563378846	24.64439371
253	-8.026109	23.39166
250.5	-10.14689329	21.18256951
248	-11.512527	18.565864
245.5	-11.64486252	15.93708712
243.1	-11.154821	13.67718
240.7	-10.40529525	12.19657085
238.4	-9.581455	11.141832
236.2	-8.923219099	10.35627537
233.9	-8.348024	9.75849
231.7	-7.860802269	9.239457021
229.6	-7.435341	8.80594
227.5	-7.052299506	8.437289447
225.4	-6.707407	8.120976
223.4	-6.392817814	7.841114393
221.4	-6.104424	7.59487
219.4	-5.834752	7.374007875
217.5	-5.588475	7.1815
215.6	-5.366266504	7.025105085
213.8	-5.171904	6.88275
211.9	-5.022955984	6.73724775
210.1	-4.879305	6.586832
208.4	-4.734956613	6.417400215
206.6	-4.513088	6.249216
