#wavelength,nm	Real	Imag	
210	1.5383576205	0
245	1.5102724366	0
280	1.4941636611	0
315	1.4839008951	0
350	1.4768914135	0
385	1.4718556532	0
420	1.46809369	0
455	1.4651931	0
490	1.462896682	0
525	1.4610366661	0
560	1.4594995357	0
595	1.4582061049	0
630	1.4570996889	0
665	1.456138797	0
700	1.4552924663	0
735	1.4545371929	0
770	1.4538548631	0
805	1.4532313266	0
840	1.4526553937	0
875	1.4521181168	0
910	1.4516122686	0
945	1.4511319567	0
980	1.4506723353	0
1015	1.4502293878	0
1050	1.4497997593	0
1085	1.4493806287	0
1120	1.4489696074	0
1155	1.4485646603	0
1190	1.4481640437	0
1225	1.447766254	0
1260	1.4473699884	0
1295	1.4469741112	0
1330	1.4465776278	0
1365	1.4461796625	0
1400	1.4457794403	0
1435	1.4453762719	0
1470	1.4449695415	0
1505	1.444558696	0
1540	1.4441432364	0
1575	1.4437227099	0
1610	1.4432967044	0
1645	1.4428648422	0
1680	1.4424267761	0
1715	1.441982185	0
1750	1.4415307706	0
1785	1.4410722546	0
1820	1.440606376	0
1855	1.4401328888	0
1890	1.4396515604	0
1925	1.4391621693	0
1960	1.4386645042	0
1995	1.4381583623	0
2030	1.4376435484	0
2065	1.4371198736	0
2100	1.4365871544	0
2135	1.4360452122	0
2170	1.4354938722	0
2205	1.4349329628	0
2240	1.4343623152	0
2275	1.4337817626	0
2310	1.4331911399	0
2345	1.4325902832	0
2380	1.4319790293	0
2415	1.4313572153	0
2450	1.4307246785	0
2485	1.4300812559	0
2520	1.4294267838	0
2555	1.4287610977	0
2590	1.4280840319	0
2625	1.4273954194	0
2660	1.4266950915	0
2695	1.4259828777	0
2730	1.4252586055	0
2765	1.4245221	0
2800	1.4237731839	0
2835	1.4230116773	0
2870	1.4222373972	0
2905	1.4214501579	0
2940	1.4206497704	0
2975	1.4198360421	0
3010	1.4190087771	0
3045	1.4181677755	0
3080	1.4173128338	0
3115	1.4164437441	0
3150	1.4155602944	0
3185	1.4146622683	0
3220	1.4137494446	0
3255	1.4128215975	0
3290	1.4118784961	0
3325	1.4109199044	0
3360	1.409945581	0
3395	1.408955279	0
3430	1.4079487456	0
3465	1.4069257223	0
3500	1.4058859443	0
3535	1.4048291405	0
3570	1.4037550332	0
3605	1.402663338	0
3640	1.4015537632	0
3675	1.40042601	0
3710	1.3992797723	0
