#wavelength	Real	Imag	
250	3.6300195	7.327592456
260	4.201584192	6.993191142
270	4.355301299	6.495323879
280	4.390295384	6.155022286
290	4.353786518	5.884510482
300	4.336514986	5.632829575
310	4.255205175	5.454792907
320	4.155028946	5.283093495
330	4.092451498	5.136584524
340	4.007755803	4.965224067
350	3.934402663	4.781879643
360	3.823504052	4.584891584
370	3.648810501	4.39495781
380	3.477440639	4.227518571
390	3.311058738	4.050022491
400	3.114111953	3.835152862
410	2.840494938	3.579600162
420	2.485577256	3.336575557
430	2.06545907	3.166539417
440	1.625423183	3.077656484
450	1.18907462	3.015920005
460	0.741806281	3.041643266
470	0.345022244	3.060954127
480	-0.060528921	3.114808817
490	-0.434177827	3.179767261
500	-0.790669929	3.264019462
510	-1.156023064	3.331663161
520	-1.507250232	3.40442906
530	-1.880651657	3.504763451
540	-2.239430153	3.587933388
550	-2.609608887	3.664701872
560	-2.983526666	3.762926315
570	-3.34822212	3.810342853
580	-3.723399465	3.903571947
590	-4.090031159	4.003848769
600	-4.518238515	4.048767829
610	-4.898153122	4.139895952
620	-5.276706269	4.233505422
630	-5.709507965	4.356355898
640	-6.101145132	4.430261806
650	-6.514287939	4.545604228
660	-6.981744734	4.646176572
670	-7.426314878	4.716443721
680	-7.823705005	4.86422542
690	-8.29236988	5.017042963
700	-8.772304594	5.112554862
710	-9.194834899	5.28346948
720	-9.655648953	5.38532043
730	-10.09725152	5.53816378
740	-10.51739857	5.64037314
750	-11.01283925	5.810229295
760	-11.47273779	5.974316283
770	-12.01186428	6.1618411
780	-12.49272168	6.218716536
790	-12.88910844	6.421572796
800	-13.398071	6.565345288
810	-13.93461074	6.827274207
820	-14.4792457	6.894159443
830	-14.98825287	7.161892778
840	-15.42515018	7.33622477
850	-15.80433192	7.43407128
860	-16.21837103	7.535797297
870	-16.72643438	7.774490105
880	-17.22007264	7.986647638
890	-17.21512455	7.97983448
900	-16.6298033	7.706886493
